id,Symbol,full_name,VWAP,Price,Exchange,Country,Sector
52296,FSOV,FIRST TRUST LOW DURATION GLOBAL GOVERNMENT BOND UCITS ETF,16.75,16.78,EURONEXT,Ireland,Miscellaneous
52297,FSNUY,Fresenius SE & Co. KGaA,7.28,7.28,OTC,Germany,Health Technology
52298,FSMU,FIDELITY UCITS II ICAV FIDELITY SUST GBL CORP BD PARIS ALIGNED,0.0,5.18,LSE,Ireland,Miscellaneous
52299,FSMP,FIDELITY UCITS II ICAV SUST GBL CORP BD PARIS ALIGNED ML U GBP,0.0,4.46,LSE,Ireland,Miscellaneous
52301,FSMG,FIDELITY UCITS II ICAV SUST GBL CORP BD PARIS ALIGNED ML U ETF,0.0,3.22,LSE,Ireland,Miscellaneous
52302,FSMF,FIL SUST GLB CORP BOND PA MF UCITS ETF,0.0,3.68,MIL,Ireland,Miscellaneous
52303,FSMF,FIDELITY UCITS II ICAV SUST GBL CORP BD PARIS ALIGNED ML U ETF,3.99,4.0,LSE,Ireland,Miscellaneous
52323,FSKY,FIRST TRUST CLOUD COMPUTING UCITS ETF,30.53,30.33,MIL,Ireland,Miscellaneous
52324,FSKY,FIRST TRUST GLOBAL FUNDS PLC CLOUD COMPUTING UCITS A GBP ACC,2669.19,2651.0,LSE,Ireland,Miscellaneous
52325,FSKRS,FISKARS CORPORATION,16.27,16.12,OMXHEX,Finland,Consumer Durables
52327,FSJ,FISHER(JAMES)& SONS ORD GBP0.25,263.0,260.0,LSE,United Kingdom,Transportation
52334,FSG,FORESIGHT GROUP HLDGS LTD ORD NPV,417.35,412.0,LSE,United Kingdom,Finance
52335,FSG,FASING,13.2,13.2,GPW,Poland,Consumer Durables
52336,FSFL,FORESIGHT SOLAR FUND LTD ORD NPV,96.73,97.8,LSE,United Kingdom,Miscellaneous
52339,FSF,FORESIGHT SUSTAINABLE FORESTRY COMP ORD GBP0.01,65.6,65.6,LSE,United Kingdom,Finance
52342,FSEU,ISHARES IV PLC EDGE MSCI EUR MULTIFAC UCITS ETF ACC,681.27,680.25,LSE,Ireland,Miscellaneous
52345,FSEM.USD,FIDELITY SUS USD EM BD - INC,3.76,3.76,SIX,Ireland,Miscellaneous
52346,FSEM,FIDELITY SUST USD EM BOND UCITS ETF,0.0,3.46,MIL,Ireland,Miscellaneous
52347,FSEM,FIDELITY UCITS II ICAV SUST USD EM BOND UCITS ETF USD DIS,0.0,3.76,LSE,Ireland,Miscellaneous
52348,FSEM,FIDELITY SUS USD EM BD - INC,3.39,3.39,SIX,Ireland,Miscellaneous
52350,FSED,FIDELITY UCITS II ICAV SUST USD EM BOND UCITS ETF USD DIS,0.0,3.03,LSE,Ireland,Miscellaneous
52351,FSECURE,F-SECURE OYJ,1.84,1.83,OMXHEX,Finland,Technology Services
52358,FSCM,FID2-S.GL.C.BD PA MF IDLD,0.0,3.68,XETR,Ireland,Miscellaneous
52381,FRXT,FRANKLIN TEMPLETON ICAV FRK FTSE TAIWAN UCITS ETF USD (GBP),18.95,18.9,LSE,Ireland,Miscellaneous
52385,FRXE,FRANKLIN TEMPLETON ICAV FRK EURO SHORT MATURITY UCITS ETF GBP,0.0,22.15,LSE,Ireland,Miscellaneous
52386,FRXD,FRANKLIN TEMPLETON ICAV FRK EUROPEAN QUALITY DIVIDEND UCITS ETF,24.91,24.91,LSE,Ireland,Miscellaneous
52393,FRW,FROZENWAY,64.67,64.89,NEWCONNECT,Poland,Technology Services
52395,FRVIA,FORVIA,17.41,17.2,EURONEXT,France,Producer Manufacturing
52398,FRUE,FRANKLIN TEMPLETON ICAV FRK U.S. EQUITY UCITS ETF USD(GBP),0.0,47.61,LSE,Ireland,Miscellaneous
52399,FRUC,FRANKLIN TEMPLETON ICAV FRK USD IG CORP BOND UCITS ETF GBP,18.55,18.54,LSE,Ireland,Miscellaneous
52400,FRU,MULTITUDE SE,3.05,3.16,FWB,Finland,Finance
52401,FRU,FERRATUM FINLAND OY,2.85,2.96,SWB,Finland,Finance
52402,FRU,MULTITUDE SE,3.06,3.16,XETR,Finland,Finance
52403,FRU,MULTITUDE SE,0.0,2.64,BER,Finland,Finance
52404,FRU,MULTITUDE SE,0.0,2.68,HAM,Finland,Finance
52405,FRU,MULTITUDE SE,0.0,3.14,DUS,Finland,Finance
52406,FRU,MULTITUDE SE,0.0,2.72,MUN,Finland,Finance
52407,FRU,MULTITUDE SE,0.0,2.68,HAN,Finland,Finance
52408,FRU,MULTITUDE SE,3.03,3.2,TRADEGATE,Finland,Finance
52416,FRTAY,Freenet AG,13.51,13.51,OTC,Germany,Communications
52417,FRTAF,Freenet AG,26.01,26.01,OTC,Germany,Communications
52432,FRS,FORIS AG,0.0,2.38,FWB,Germany,Commercial Services
52433,FRS,FORIS AG,2.31,2.28,XETR,Germany,Commercial Services
52434,FRS,FORIS AG,0.0,2.26,SWB,Germany,Commercial Services
52435,FRS,FORIS AG,0.0,2.38,HAM,Germany,Commercial Services
