id,Symbol,full_name,VWAP,Price,Exchange,Country,Sector
24174,PROS.R,PROSPER ENGINEERING PCL NON-VOTING,0.84,0.82,SET,Thailand,Industrial Services
24175,PROS,PROSPER ENGINEERING PCL,0.84,0.82,SET,Thailand,Industrial Services
24176,PROPEQUITY,P. E. ANALYTICS PR,306.07,304.8,NSE,India,Technology Services
24180,PROMAX,PROMAX POWER LIMITED,59.23,57.5,BSE,India,Commercial Services
24181,PROMACT,PROMACT IMPEX LIMITED,6.75,6.8,BSE,India,Process Industries
24182,PROLIFE,PROLIFE INDUSTRIES,253.47,250.2,NSE,India,Process Industries
24185,PROGREXV,PROGREX VENTURES LIMITED,7.65,7.65,BSE,India,Energy Minerals
24186,PROGRESLIF,PROGRESSIVE LIFE INSURANCE CO LTD,77.3,77.3,DSEBD,Bangladesh,Finance
24190,PROFINC,PRO FIN CAPITAL SERVICES LTD.,1.19,1.17,BSE,India,Finance
24193,PROEN.R,PROEN CORP PCL NON-VOTING,2.97,2.94,SET,Thailand,Technology Services
24194,PROEN,PROEN CORP PCL,2.97,2.94,SET,Thailand,Technology Services
24197,PROCLB,PRO CLB GLOBAL LIMITED,6.86,6.86,BSE,India,Commercial Services
24223,PRMX,PRIMEX CORPORATION,2.84,2.87,PSE,Philippines,Finance
24233,PRMG,PRIMOTEC GROUP LTD,735.57,732.1,TASE,Israel,Consumer Non-Durables
24240,PRM.R,PRIMA MARINE PCL NON-VOTING,5.62,5.6,SET,Thailand,Distribution Services
24249,PRM,PRIMA MARINE PCL,5.62,5.6,SET,Thailand,Distribution Services
24253,PRLEXUS,PROLEXUS BHD,0.32,0.33,MYX,Malaysia,Consumer Non-Durables
24268,PRL,PAKISTAN REFINERY LTD,24.96,24.97,PSX,Pakistan,Energy Minerals
24269,PRKWF,Parkway Life REIT,2.58,2.58,OTC,Singapore,Finance
24272,PRKM,PARKOMAT INTERNATI,394.73,394.6,TASE,Israel,Producer Manufacturing
24273,PRKCORP,PERAK CORPORATION BHD,0.0,0.31,MYX,Malaysia,Transportation
24281,PRIYALT,PRIYA LTD.,13.59,14.02,BSE,India,Distribution Services
24283,PRIVISCL,PRIVI SPECIALITY CHEMICALS LIM,1281.47,1274.2,BSE,India,Process Industries
24284,PRIVISCL,PRIVI SPECIALITY CHE LTD,1282.88,1278.3,NSE,India,Process Industries
24285,PRIVA,PRIVASIA TECHNOLOGY BERHAD,0.12,0.12,MYX,Malaysia,Technology Services
24288,PRITIKAUTO,PRITIKA AUTO INDUSTRIES LIMITE,21.74,22.0,BSE,India,Producer Manufacturing
24289,PRITIKAUTO,PRITIKA AUTO INDUS LTD,21.95,21.9,NSE,India,Producer Manufacturing
24290,PRITIKA,PRITIKA ENGINEERIN,77.37,77.15,NSE,India,Producer Manufacturing
24291,PRITI,PRITI INTERNATIONAL LTD,199.73,198.2,NSE,India,Consumer Durables
24292,PRITHVIEXCH,PRITHVI EXCHANGE (INDIA) LIMIT,116.87,117.75,BSE,India,Finance
24294,PRISMX,PRISMX GLOBAL VENTURES LIMITED,1.84,1.86,BSE,India,Commercial Services
24295,PRISMMEDI,PRISM MEDICO AND PHARMACY LTD.,28.13,27.8,BSE,India,Finance
24296,PRISMFN,PRISM FINANCE LTD.,30.79,30.79,BSE,India,Finance
24301,PRINCEPIPE,PRINCE PIPES AND FITTINGS LIMI,692.82,688.15,BSE,India,Producer Manufacturing
24302,PRINCEPIPE,PRINCE PIPES FITTINGS LTD,692.93,688.85,NSE,India,Producer Manufacturing
24303,PRINC.R,PRINCIPAL CAPITAL PUBLIC CO LTD NON-VOTING,4.3,4.28,SET,Thailand,Health Services
24304,PRINC,PRINCIPAL CAPITAL PUBLIC CO LTD,4.3,4.28,SET,Thailand,Health Services
24305,PRIN.R,PRINSIRI PUBLIC COMPANY LIMITED NON-VOTING,2.89,2.9,SET,Thailand,Consumer Durables
24306,PRIN,PRINSIRI PUBLIC COMPANY LIMITED,2.89,2.9,SET,Thailand,Consumer Durables
24308,PRIMO,PRIMO CHEMICALS LIMITED,53.36,53.2,BSE,India,Process Industries
24309,PRIMIND,PRIME INDUSTRIES LTD.,163.8,165.0,BSE,India,Finance
24310,PRIMEURB,PRIME URBAN DEVELOPMENT INDIA,9.21,8.82,BSE,India,Finance
24311,PRIMETEX,PRIME TEXTILE SPINNING MILLS LTD,29.2,29.2,DSEBD,Bangladesh,Process Industries
24312,PRIMESECU,PRIME SECURITIES LTD.,160.57,163.8,BSE,India,Finance
24313,PRIMESECU,PRIME SECURITIES,159.33,160.3,NSE,India,Finance
24314,PRIMEPRO,PRIME PROPERTY DEVELOPMENT COR,26.25,26.25,BSE,India,Finance
24315,PRIMELIFE,PRIME ISLAMI LIFE INSURANCE LTD,52.7,52.7,DSEBD,Bangladesh,Finance
24316,PRIMEINSUR,PRIME INSURANCE CO LTD,82.8,82.8,DSEBD,Bangladesh,Finance
24317,PRIMEFRESH,PRIME FRESH LIMITED,252.0,250.0,BSE,India,Transportation
24318,PRIMEFIN,PRIME FINANCE & INVESTMENT LTD,11.5,11.5,DSEBD,Bangladesh,Finance
24319,PRIMEBANK,PRIME BANK LTD,20.97,20.9,DSEBD,Bangladesh,Finance
24321,PRIME.R,PRIME ROAD POWER PUBLIC CO LTD NON-VOTING,0.58,0.57,SET,Thailand,Utilities
24322,PRIME,PRIME ROAD POWER PUBLIC CO LTD,0.58,0.57,SET,Thailand,Utilities
24323,PRIMAPLA,PRIMA PLASTICS LTD.,173.53,172.4,BSE,India,Consumer Durables
24324,PRIMAIN,PRIMA INDUSTRIES LTD.,17.65,17.25,BSE,India,Consumer Non-Durables
24325,PRIMAGR,PRIMA AGRO LTD.,28.43,27.85,BSE,India,Process Industries
24326,PRIM,PRIME ENERGY P.E.,98.03,98.5,TASE,Israel,Utilities
24329,PRIM,"PRIME MEDIA HOLDINGS, INC.",2.91,2.91,PSE,Philippines,Finance
24330,PRIM,ROYAL PRIMA TBK,93.0,93.0,IDX,Indonesia,Health Services
24344,PRICOLLTD,PRICOL LIMITED,342.83,342.7,BSE,India,Producer Manufacturing
24345,PRICOLLTD,PRICOL LTD,342.97,342.55,NSE,India,Producer Manufacturing
24347,PRI.R,PRIMO SERVICE SOLUTIONS PCL NON-VOTING,22.53,22.4,SET,Thailand,Finance
24350,PRI,PRIMO SERVICE SOLUTIONS PCL,22.53,22.4,SET,Thailand,Finance
24352,PRH,LIVINGSTONE,0.03,0.03,SGX,Singapore,Non-Energy Minerals
24356,PRG.R,PRG CORPORATION PCL NON-VOTING,10.4,10.4,SET,Thailand,Process Industries
24369,PRG,PRG HOLDINGS BERHAD,0.19,0.19,MYX,Malaysia,Process Industries
24370,PRG,PRG CORPORATION PCL,10.4,10.4,SET,Thailand,Process Industries
24372,PRFX,PainReform Ltd.,2.1,2.03,NASDAQ,Israel,Health Technology
24384,PRF4C,PETRON CORP,1000.0,1000.0,PSE,Philippines,Energy Minerals
24385,PRF4B,PETRON CORP,1000.0,1000.0,PSE,Philippines,Energy Minerals
24386,PRF4A,PETRON CORP,1004.0,1004.0,PSE,Philippines,Energy Minerals
24387,PRF3B,PETRON CORP PREF 3B,980.0,980.0,PSE,Philippines,Energy Minerals
24388,PRF3A,PETRON CORP PREF 3A,993.33,995.0,PSE,Philippines,Energy Minerals
24392,PREVEST,PREVEST DENPRO LIMITED,412.33,414.0,BSE,India,Health Technology
24400,PRET,PREMIUM TEXTILE MILLS LTD,410.1,410.0,PSX,Pakistan,Process Industries
24402,PRESTIGE,PRESTIGE ESTATES PROJECTS LTD.,903.48,910.5,BSE,India,Finance
24403,PRESTIGE,PRESTIGE ESTATES P,903.38,912.2,NSE,India,Finance
24404,PRESTAR,PRESTAR RESOURCES BHD,0.42,0.42,MYX,Malaysia,Producer Manufacturing
24405,PRESSURS,PRESSURE SENSITIVE SYSTEMS (IN,6.83,6.71,BSE,India,Finance
24407,PRESIGHT,Presight AI Holding PLC,2.39,2.38,ADX,United Arab Emirates,Technology Services
24410,PRERINFRA,PRERNA INFRABUILD LTD.,28.43,28.01,BSE,India,Consumer Durables
24411,PREMSYN,PREMIER SYNTHETICS LTD.,15.88,16.2,BSE,India,Process Industries
24412,PREMIERPOL,PREMIER POLYFILM LTD.,161.38,164.0,BSE,India,Non-Energy Minerals
